TimeStamp,PosX,PosY,PosZ,VeloX,VeloY,VeloZ,AbsVelo,AccX,AccY,AccZ,
2025:06:14:51:07:795,-42.500,-0.491,1.000,0.000,-29.430,0.000,29.430,0.000,0.000,0.000,
2025:06:14:51:08:795,-42.500,-0.985,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:08:838,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:08:917,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:08:954,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:08:985,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:006,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:028,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:052,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:073,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:094,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:118,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:139,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:171,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:195,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:224,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:246,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:268,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:289,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:314,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:335,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:355,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:379,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:403,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:424,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:445,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:468,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:494,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:513,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:537,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:561,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:585,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:609,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:632,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:642,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:675,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:699,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:724,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:748,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:774,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:798,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:823,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:849,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:873,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:897,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:921,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:947,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:971,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:09:996,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:018,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:040,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:064,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:085,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:108,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:131,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:154,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:184,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:205,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:228,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:250,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:287,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:313,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:337,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:361,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:391,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:417,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:441,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:467,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:490,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:514,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:539,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:564,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:588,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:614,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:639,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:664,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:689,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:711,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:737,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:761,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:786,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:809,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:834,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:858,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:882,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:906,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:931,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:956,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:10:981,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:11:006,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:11:031,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:11:056,-42.516,-1.621,1.003,0.102,0.000,-0.816,0.822,0.000,0.000,0.000,
2025:06:14:51:11:081,-42.508,-1.621,1.002,0.424,0.000,-0.036,0.426,0.000,0.000,0.000,
2025:06:14:51:11:104,-42.535,-1.621,0.999,-0.034,0.000,-0.056,0.066,0.000,0.000,0.000,
2025:06:14:51:11:130,-42.536,-1.621,0.998,-0.041,0.000,-0.065,0.077,-0.412,0.000,-0.648,
2025:06:14:51:11:154,-42.536,-1.621,0.997,0.000,0.000,0.000,0.000,-0.412,0.000,-0.648,
2025:06:14:51:11:178,-42.536,-1.621,0.997,0.000,0.000,0.000,0.000,-0.412,0.000,-0.648,
2025:06:14:51:11:203,-42.536,-1.621,0.997,0.000,0.000,0.000,0.000,-0.412,0.000,-0.648,
2025:06:14:51:11:227,-42.536,-1.621,0.997,0.000,0.000,0.000,0.000,-0.412,0.000,-0.648,
2025:06:14:51:11:254,-42.536,-1.621,0.997,0.000,0.000,0.000,0.000,0.412,0.000,0.648,
2025:06:14:51:11:302,-42.536,-1.621,0.997,0.000,0.000,0.000,0.000,0.412,0.000,0.648,
2025:06:14:51:11:334,-42.536,-1.621,0.997,0.000,0.000,0.000,0.000,0.412,0.000,0.648,
2025:06:14:51:11:357,-42.536,-1.621,0.997,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:11:383,-42.536,-1.621,0.997,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:11:405,-42.536,-1.621,0.997,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:11:428,-42.536,-1.621,0.997,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:11:451,-42.536,-1.621,0.997,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:11:477,-42.536,-1.621,0.997,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:11:501,-42.536,-1.621,0.997,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:11:523,-42.536,-1.621,0.997,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:11:547,-42.536,-1.621,0.997,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:11:570,-42.536,-1.621,0.997,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:11:594,-42.536,-1.621,0.997,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:11:619,-42.536,-1.621,0.997,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:11:642,-42.536,-1.621,0.997,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:11:667,-42.536,-1.621,0.997,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:11:691,-42.536,-1.621,0.997,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:11:714,-42.536,-1.621,0.997,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:11:736,-42.543,-1.621,0.995,-0.132,0.000,-0.035,0.136,0.000,0.000,0.000,
2025:06:14:51:11:760,-42.549,-1.621,0.994,-0.359,0.000,-0.082,0.368,0.000,0.000,0.000,
2025:06:14:51:11:786,-42.556,-1.621,0.992,-0.234,0.000,-0.056,0.240,-1.936,0.000,-0.430,
2025:06:14:51:11:810,-42.564,-1.621,0.990,-0.491,0.000,-0.131,0.508,-1.936,0.000,-0.430,
2025:06:14:51:11:834,-42.572,-1.621,0.988,-0.245,0.000,-0.076,0.257,-1.936,0.000,-0.430,
2025:06:14:51:11:856,-42.580,-1.621,0.985,-0.457,0.000,-0.153,0.482,-1.936,0.000,-0.430,
2025:06:14:51:11:880,-42.583,-1.621,0.984,-0.229,0.000,-0.080,0.242,-0.352,0.000,-0.369,
2025:06:14:51:11:904,-42.598,-1.621,0.978,-0.380,0.000,-0.210,0.434,-0.352,0.000,-0.369,
2025:06:14:51:11:928,-42.613,-1.621,0.970,-0.903,0.000,-0.451,1.010,-0.352,0.000,-0.369,
2025:06:14:51:11:954,-42.628,-1.621,0.965,-0.435,0.000,-0.152,0.461,-0.352,0.000,-0.369,
2025:06:14:51:11:978,-42.645,-1.621,0.959,-1.024,0.000,-0.354,1.083,-0.352,0.000,-0.369,
2025:06:14:51:12:003,-42.650,-1.621,0.957,-0.151,0.000,-0.042,0.157,0.552,0.000,0.324,
2025:06:14:51:12:025,-42.657,-1.621,0.955,-0.394,0.000,-0.135,0.416,0.552,0.000,0.324,
2025:06:14:51:12:048,-42.661,-1.621,0.954,-0.238,0.000,-0.089,0.254,0.552,0.000,0.324,
2025:06:14:51:12:068,-42.673,-1.621,0.949,-0.233,0.000,-0.070,0.243,0.552,0.000,0.324,
2025:06:14:51:12:095,-42.682,-1.621,0.947,-0.551,0.000,-0.153,0.571,-3.770,0.000,-1.050,
2025:06:14:51:12:118,-42.692,-1.621,0.944,-0.270,0.000,-0.078,0.281,-3.770,0.000,-1.050,
2025:06:14:51:12:146,-42.698,-1.621,0.942,-0.363,0.000,-0.107,0.379,-3.770,0.000,-1.050,
2025:06:14:51:12:170,-42.713,-1.621,0.938,-0.295,0.000,-0.093,0.309,-3.770,0.000,-1.050,
2025:06:14:51:12:192,-42.722,-1.621,0.935,-0.552,0.000,-0.175,0.579,-3.770,0.000,-1.050,
2025:06:14:51:12:216,-42.726,-1.621,0.933,-0.252,0.000,-0.080,0.264,2.987,0.000,0.725,
2025:06:14:51:12:237,-42.740,-1.621,0.929,-0.260,0.000,-0.083,0.273,2.987,0.000,0.725,
2025:06:14:51:12:261,-42.754,-1.621,0.922,-0.862,0.000,-0.437,0.966,2.987,0.000,0.725,
2025:06:14:51:12:284,-42.762,-1.621,0.918,-0.471,0.000,-0.218,0.519,2.987,0.000,0.725,
2025:06:14:51:12:307,-42.785,-1.621,0.910,-0.515,0.000,-0.162,0.540,-2.628,0.000,-0.817,
2025:06:14:51:12:328,-42.793,-1.621,0.908,-0.444,0.000,-0.139,0.465,-2.628,0.000,-0.817,
2025:06:14:51:12:350,-42.815,-1.621,0.901,-0.431,0.000,-0.136,0.452,-2.628,0.000,-0.817,
2025:06:14:51:12:374,-42.832,-1.621,0.895,-1.031,0.000,-0.327,1.082,-2.628,0.000,-0.817,
2025:06:14:51:12:397,-42.840,-1.621,0.893,-0.444,0.000,-0.141,0.466,-2.628,0.000,-0.817,
2025:06:14:51:12:419,-42.863,-1.621,0.886,-0.479,0.000,-0.155,0.503,-3.900,0.000,-1.281,
2025:06:14:51:12:441,-42.878,-1.621,0.881,-0.937,0.000,-0.303,0.985,-3.900,0.000,-1.281,
2025:06:14:51:12:463,-42.881,-1.621,0.880,-0.173,0.000,-0.008,0.173,-3.900,0.000,-1.281,
2025:06:14:51:12:484,-42.888,-1.621,0.880,-0.123,0.000,-0.018,0.124,-3.900,0.000,-1.281,
2025:06:14:51:12:506,-42.897,-1.621,0.876,-0.545,0.000,-0.205,0.582,-3.900,0.000,-1.281,
2025:06:14:51:12:529,-42.902,-1.621,0.875,-0.256,0.000,-0.094,0.273,6.487,0.000,1.955,
2025:06:14:51:12:563,-42.916,-1.621,0.869,-0.330,0.000,-0.118,0.351,6.487,0.000,1.955,
2025:06:14:51:12:586,-42.922,-1.621,0.868,-0.113,0.000,-0.030,0.117,6.487,0.000,1.955,
2025:06:14:51:12:607,-42.925,-1.621,0.867,-0.181,0.000,-0.057,0.189,6.487,0.000,1.955,
2025:06:14:51:12:629,-42.926,-1.621,0.867,-0.075,0.000,-0.025,0.079,1.810,0.000,0.691,
2025:06:14:51:12:651,-42.928,-1.621,0.866,0.000,0.000,0.000,0.000,1.810,0.000,0.691,
2025:06:14:51:12:674,-42.928,-1.621,0.866,0.000,0.000,0.000,0.000,1.810,0.000,0.691,
2025:06:14:51:12:697,-42.930,-1.621,0.865,-0.093,0.000,-0.036,0.100,1.810,0.000,0.691,
2025:06:14:51:12:719,-42.930,-1.621,0.865,0.000,0.000,0.000,0.000,1.810,0.000,0.691,
2025:06:14:51:12:741,-42.930,-1.621,0.865,0.000,0.000,0.000,0.000,0.751,0.000,0.253,
2025:06:14:51:12:773,-42.930,-1.621,0.865,0.000,0.000,0.000,0.000,0.751,0.000,0.253,
2025:06:14:51:12:800,-42.930,-1.621,0.865,0.000,0.000,0.000,0.000,0.751,0.000,0.253,
2025:06:14:51:12:830,-42.930,-1.621,0.865,0.000,0.000,0.000,0.000,0.751,0.000,0.253,
2025:06:14:51:12:853,-42.930,-1.621,0.865,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:12:876,-42.930,-1.621,0.865,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:12:897,-42.930,-1.621,0.865,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:12:919,-42.930,-1.621,0.865,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:12:942,-42.930,-1.621,0.865,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:12:965,-42.930,-1.621,0.865,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:12:989,-42.934,-1.621,0.863,-0.135,0.000,-0.062,0.148,0.000,0.000,0.000,
2025:06:14:51:13:013,-42.936,-1.621,0.862,-0.122,0.000,-0.057,0.135,0.000,0.000,0.000,
2025:06:14:51:13:035,-42.946,-1.621,0.858,-0.188,0.000,-0.084,0.206,0.000,0.000,0.000,
2025:06:14:51:13:068,-42.954,-1.621,0.854,0.000,0.000,0.000,0.000,-1.881,0.000,-0.841,
2025:06:14:51:13:094,-42.956,-1.621,0.853,-0.143,0.000,-0.093,0.171,-1.881,0.000,-0.841,
2025:06:14:51:13:116,-42.956,-1.621,0.853,0.000,0.000,0.000,0.000,-1.881,0.000,-0.841,
2025:06:14:51:13:140,-42.963,-1.621,0.849,-0.185,0.000,-0.106,0.213,-1.881,0.000,-0.841,
2025:06:14:51:13:162,-42.966,-1.621,0.847,-0.200,0.000,-0.113,0.229,-0.114,0.000,-0.291,
2025:06:14:51:13:185,-42.973,-1.621,0.843,0.000,0.000,0.000,0.000,-0.114,0.000,-0.291,
2025:06:14:51:13:210,-42.983,-1.621,0.836,-0.634,0.000,-0.413,0.757,-0.114,0.000,-0.291,
2025:06:14:51:13:234,-42.986,-1.621,0.834,-0.180,0.000,-0.130,0.222,-0.114,0.000,-0.291,
2025:06:14:51:13:255,-42.996,-1.621,0.826,-0.181,0.000,-0.157,0.239,-0.114,0.000,-0.291,
2025:06:14:51:13:282,-42.999,-1.621,0.823,-0.190,0.000,-0.177,0.260,0.096,0.000,-0.640,
2025:06:14:51:13:316,-43.011,-1.621,0.808,-0.225,0.000,-0.316,0.388,0.096,0.000,-0.640,
2025:06:14:51:13:340,-43.024,-1.621,0.788,-0.260,0.000,-0.404,0.480,0.096,0.000,-0.640,
2025:06:14:51:13:368,-43.028,-1.621,0.782,-0.208,0.000,-0.409,0.459,0.096,0.000,-0.640,
2025:06:14:51:13:389,-43.028,-1.621,0.777,-0.018,0.000,-0.092,0.094,1.534,0.000,0.220,
2025:06:14:51:13:408,-43.029,-1.621,0.774,-0.027,0.000,-0.179,0.181,1.534,0.000,0.220,
2025:06:14:51:13:433,-43.029,-1.621,0.773,-0.008,0.000,-0.085,0.086,1.534,0.000,0.220,
2025:06:14:51:13:454,-43.029,-1.621,0.771,0.001,0.000,-0.069,0.069,1.534,0.000,0.220,
2025:06:14:51:13:475,-43.029,-1.621,0.771,0.000,0.000,0.000,0.000,0.366,0.000,1.552,
2025:06:14:51:13:498,-43.029,-1.621,0.771,0.000,0.000,0.000,0.000,0.366,0.000,1.552,
2025:06:14:51:13:523,-43.029,-1.621,0.771,0.000,0.000,0.000,0.000,0.366,0.000,1.552,
2025:06:14:51:13:542,-43.029,-1.621,0.771,0.000,0.000,0.000,0.000,0.366,0.000,1.552,
2025:06:14:51:13:566,-43.029,-1.621,0.771,0.000,0.000,0.000,0.000,0.366,0.000,1.552,
2025:06:14:51:13:585,-43.029,-1.621,0.771,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:13:609,-43.029,-1.621,0.771,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:13:636,-43.029,-1.621,0.771,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:13:645,-43.029,-1.621,0.771,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:13:678,-43.029,-1.621,0.771,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:13:705,-43.029,-1.621,0.771,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:13:733,-43.029,-1.621,0.771,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:13:757,-43.029,-1.621,0.771,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:13:780,-43.029,-1.621,0.771,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:13:799,-43.029,-1.621,0.771,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:13:831,-43.029,-1.621,0.771,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:13:860,-43.029,-1.621,0.771,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:13:880,-43.029,-1.621,0.771,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:13:903,-43.029,-1.621,0.771,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:13:929,-43.029,-1.621,0.771,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:13:957,-43.029,-1.621,0.771,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:13:977,-43.029,-1.621,0.771,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:14:002,-43.029,-1.621,0.771,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:14:022,-43.029,-1.621,0.771,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:14:044,-43.029,-1.621,0.771,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:14:068,-43.029,-1.621,0.771,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:14:089,-43.029,-1.621,0.771,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:14:112,-43.029,-1.621,0.771,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:14:133,-43.029,-1.621,0.771,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:14:159,-43.029,-1.621,0.771,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:14:180,-43.029,-1.621,0.771,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:14:208,-43.029,-1.621,0.771,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:51:14:238,-43.024,-1.621,0.768,0.095,0.000,-0.050,0.108,2.204,0.000,-1.142,
2025:06:14:51:14:266,-43.020,-1.621,0.766,0.204,0.000,-0.111,0.233,2.204,0.000,-1.142,
2025:06:14:51:14:284,-43.013,-1.621,0.762,0.151,0.000,-0.087,0.174,2.204,0.000,-1.142,
2025:06:14:51:14:307,-43.007,-1.621,0.758,0.385,0.000,-0.243,0.455,2.204,0.000,-1.142,
2025:06:14:51:14:329,-43.004,-1.621,0.756,0.196,0.000,-0.137,0.239,-0.240,0.000,-0.228,
2025:06:14:51:14:354,-42.994,-1.621,0.748,0.183,0.000,-0.155,0.240,-0.240,0.000,-0.228,
2025:06:14:51:14:375,-42.986,-1.621,0.741,0.486,0.000,-0.411,0.636,-0.240,0.000,-0.228,
2025:06:14:51:14:397,-42.983,-1.621,0.739,0.203,0.000,-0.177,0.269,-0.240,0.000,-0.228,
2025:06:14:51:14:416,-42.976,-1.621,0.731,0.428,0.000,-0.423,0.602,-0.240,0.000,-0.228,
2025:06:14:51:14:444,-42.970,-1.621,0.723,0.079,0.000,-0.164,0.182,0.787,0.000,-2.038,
2025:06:14:51:14:463,-42.969,-1.621,0.722,0.035,0.000,-0.073,0.081,0.787,0.000,-2.038,
2025:06:14:51:14:515,-42.965,-1.621,0.714,0.000,0.000,0.000,0.000,0.787,0.000,-2.038,
2025:06:14:51:14:547,-42.960,-1.621,0.704,0.000,0.000,0.000,0.000,-2.751,0.000,3.408,
2025:06:14:51:14:573,-42.952,-1.621,0.687,0.151,0.000,-0.379,0.408,-2.751,0.000,3.408,
2025:06:14:51:14:594,-42.950,-1.621,0.679,0.159,0.000,-0.444,0.472,-2.751,0.000,3.408,
2025:06:14:51:14:625,-42.943,-1.621,0.664,0.344,0.000,-0.671,0.754,-2.751,0.000,3.408,
2025:06:14:51:14:651,-42.938,-1.621,0.653,0.296,0.000,-0.641,0.706,2.957,0.000,-6.411,
2025:06:14:51:14:684,-42.930,-1.621,0.630,0.153,0.000,-0.482,0.505,2.957,0.000,-6.411,
2025:06:14:51:14:721,-42.921,-1.621,0.603,0.247,0.000,-0.757,0.797,2.957,0.000,-6.411,
2025:06:14:51:14:740,-42.914,-1.621,0.580,0.184,0.000,-0.569,0.598,2.957,0.000,-6.411,
2025:06:14:51:14:760,-42.909,-1.621,0.566,0.284,0.000,-0.879,0.924,-0.114,0.000,-2.383,
